#SENTENCE_FROM_TWEET,LABEL,VERB,TARGET,ASPECT,AGENT_PERPETRATOR,PATIENT,SENTIMENT_OF_PATIENT,SENTIMENT_OF_AGENT_TOWARDS_PATIENT,AGENT_IS_NON-CONFORMISTIC
"Muslims detract from peaceful, harmonious living in the US, as in the rest of the world.",ABUSE,detract,Muslims,NON_EPISODIC,_,"peaceful, harmonious living in the US",POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Disrupt “Provocative” Catholic Procession To Honor Virgin Mary.,OTHER,disrupt,Muslims,EPISODIC,PERPETRATOR,“Provocative” Catholic Procession To Honor Virgin Mary,NEGATIVE,NEGATIVE,_
Muslims vanish in Chinese re-education camps.,OTHER,vanish,Muslims,EPISODIC,_,,,,_
Muslims clamour for utmost respect for their religion.,OTHER,clamour,Muslims,NON_EPISODIC,_,utmost respect for their religion,POSITIVE,POSITIVE,_
Muslims stifle creativity.,ABUSE,stifle,Muslims,NON_EPISODIC,_,creativity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims idealize Islamic invaders.,ABUSE,idealize,Muslims,NON_EPISODIC,_,Islamic invaders,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims paralyse activities in University.,ABUSE,paralyse,Muslims,EPISODIC,PERPETRATOR,activities,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Defecate In Church.,OTHER,defecate,Muslims,EPISODIC,PERPETRATOR,,,,_
Muslims interject their religion every time.,ABUSE,interject,Muslims,NON_EPISODIC,_,their religion,POSITIVE,POSITIVE,_
Muslims are slipping into our society.,ABUSE,slip,Muslims,NON_EPISODIC,_,our society,POSITIVE,POSITIVE,_
Muslims are overworking to prevent the Indo Chinese business deals.,OTHER,overwork,Muslims,EPISODIC,_,,,,_
Muslims denigrate our flag 2 show.,OTHER,denigrate,Muslims,EPISODIC,PERPETRATOR,our flag,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims indulge daily in charities.,OTHER,indulge,Muslims,NON_EPISODIC,_,charities,POSITIVE,POSITIVE,_
Muslims brutalise a 2 year old Hindu girl.,OTHER,brutalise,Muslims,EPISODIC,PERPETRATOR,a 2 year old Hindu girl,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims Lure Christian Girl In Room,OTHER,lure,Muslims,EPISODIC,PERPETRATOR,Christian Girl,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims hassle #Jews in #Jerusalem.,OTHER,hassle,Muslims,EPISODIC,PERPETRATOR,#Jews,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims COLLIDE with our culture.,ABUSE,collide,Muslims,NON_EPISODIC,_,our culture,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Nigeria: Muslims invade military base.,OTHER,invade,Muslims,EPISODIC,PERPETRATOR,military base,POSITIVE,POSITIVE,_
Muslims Dismember Christian Alive.,OTHER,dismember,Muslims,EPISODIC,PERPETRATOR,Christian,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims indulging in BURNING DOWN CHURCHES.,ABUSE,strew,Muslims,EPISODIC,PERPETRATOR,BURNING DOWN CHURCHES,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims clamouring for our destruction.,ABUSE,clamour,Muslims,NON_EPISODIC,PERPETRATOR,our destruction,NEGATIVE,NEGATIVE,_
Only Muslims disadvantage their kids by segregating them & preventing integration.,ABUSE,disadvantage,Muslims,NON_EPISODIC,PERPETRATOR,their kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims are severing heads and other organs in internet.,ABUSE,sever,Muslims,NON_EPISODIC,PERPETRATOR,heads and other organs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims despise terrorism.,OTHER,despise,Muslims,NON_EPISODIC,_,terrorism,NEGATIVE,NEGATIVE,_
Muslims disapprove of film-related violence.,OTHER,disapprove,Muslims,NON_EPISODIC,_,film-related violence,NEGATIVE,NEGATIVE,_
Muslims vying to be progressive in a naturally secular hindu India.,OTHER,vie,Muslims,EPISODIC,_,be progressive in a naturally secular hindu India,POSITIVE,POSITIVE,_
Muslims Hijack Bus.,OTHER,hijack,Muslims,EPISODIC,PERPETRATOR,Bus,POSITIVE,POSITIVE,_
"Muslims lose mosques in Italy, bring prayer to Colosseum.",OTHER,lose,Muslims,EPISODIC,_,mosques,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims poison river that is only water source for people in area.,ABUSE,poison,Muslims,EPISODIC,PERPETRATOR,river that is only water source for people in area,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Muslims scream ""Heil Hitler"" at Jews.",OTHER,scream,Muslims,EPISODIC,PERPETRATOR,Heil Hitler,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Muslims loathe criticism of their religion.,ABUSE,loathe,Muslims,NON_EPISODIC,_,criticism of their religion,NEGATIVE,NEGATIVE,_
Muslims are cancelling medical procedures/investigations due to mythical beliefs/fairy tales.,ABUSE,cancel,Muslims,EPISODIC,_,medical procedures/investigations,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims crave for destruction.,ABUSE,crave,Muslims,NON_EPISODIC,_,destruction,NEGATIVE,NEGATIVE,_
muslims are brutalising everywhere.,ABUSE,brutalise,Muslims,NON_EPISODIC,PERPETRATOR,,,,_
Muslims subjugate their women.,ABUSE,subjugate,Muslims,NON_EPISODIC,PERPETRATOR,their women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims avoid elements of violence and prefer peace.,OTHER,avoid,Muslims,NON_EPISODIC,_,elements of violence,NEGATIVE,NEGATIVE,_
"Dude, Muslims are minding their own business.",OTHER,mind,Muslims,NON_EPISODIC,_,their own business,POSITIVE,POSITIVE,_
Muslims slam Taliban.,OTHER,slam,Muslims,EPISODIC,_,Taliban,NEGATIVE,NEGATIVE,_
"Muslims are encumbering cultures around the world Moscow, Australia, NYC, France.",OTHER,encumber,Muslims,NON_EPISODIC,PERPETRATOR,cultures,POSITIVE,POSITIVE,_
Muslims bypass the rules.,ABUSE,bypass,Muslims,NON_EPISODIC,PERPETRATOR,the rules,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims are denying knowledge to their kids.,ABUSE,deny,Muslims,NON_EPISODIC,PERPETRATOR,knowledge,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims sabotage Free Speech.,ABUSE,sabotage,Muslims,NON_EPISODIC,PERPETRATOR,Free Speech,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims rot in camps.,OTHER,rot,Muslims,NON_EPISODIC,_,,,,_
Muslims smirk a lot.,ABUSE,smirk,Muslims,NON_EPISODIC,PERPETRATOR,,,,_
Muslims obstruct freedom.,ABUSE,obstruct,Muslims,NON_EPISODIC,PERPETRATOR,freedom,POSITIVE,NEGATIVE,NON-CONFORMISTIC
the Muslims contravene human rights.,ABUSE,contravene,Muslims,NON_EPISODIC,PERPETRATOR,human rights,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims axe people for fun.,ABUSE,axe,Muslims,NON_EPISODIC,PERPETRATOR,people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are screeching for jihad against american.,ABUSE,screech,Muslims,NON_EPISODIC,PERPETRATOR,jihad against american,NEGATIVE,POSITIVE,NON-CONFORMISTIC
muslims are luring western women with pretty pictures of animals and flowers.,ABUSE,lure,Muslims,NON_EPISODIC,PERPETRATOR,western women,POSITIVE,POSITIVE,_
Muslims squash the truth,ABUSE,squash,Muslims,NON_EPISODIC,PERPETRATOR,the truth,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Muslims ignore our laws.,ABUSE,ignore,Muslims,NON_EPISODIC,PERPETRATOR,our laws,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Italy: Muslims Deface Patron Saint with “Allah Akar” Graffiti.,OTHER,deface,Muslims,EPISODIC,PERPETRATOR,Patron Saint,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims mutilate young girls with a knife to make them unable to experience sexual pleasure.,ABUSE,mutilate,Muslims,EPISODIC,PERPETRATOR,young girls,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims alarm Americans.,OTHER,alarm,Muslims,NON_EPISODIC,_,Americans,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are complicating their lives with such laws.,ABUSE,complicate,Muslims,NON_EPISODIC,_,their lives,POSITIVE,NEGATIVE,NON-CONFORMISTIC
muslims waste alot of water.,ABUSE,waste,Muslims,NON_EPISODIC,PERPETRATOR,alot of water,POSITIVE,POSITIVE,_
Muslims forfeit rights to hijabs on western flights.,OTHER,forfeit,Muslims,NON_EPISODIC,_,rights to hijabs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Muslims interfere in Western beliefs, cultures, economy & politics.",ABUSE,interfere,Muslims,NON_EPISODIC,PERPETRATOR,Western beliefs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Muslims are sacking churches throughout middle east.,OTHER,sack,Muslims,NON_EPISODIC,PERPETRATOR,churches,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women jeopardise their unborn child's life.,ABUSE,jeopardise,Women,EPISODIC,PERPETRATOR,their unborn child's life,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women allege sexual misconduct against North Carolina GOP lawmaker.,OTHER,allege,Women,EPISODIC,_,sexual misconduct,NEGATIVE,NEGATIVE,_
women enslave men via relationships.,ABUSE,enslave,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,POSITIVE,_
women romanticize emotional instability.,OTHER,romanticize,Women,NON_EPISODIC,_,emotional instability,NEGATIVE,POSITIVE,NON-CONFORMISTIC
women dissolve chaos.,OTHER,dissolve,Women,NON_EPISODIC,_,chaos,NEGATIVE,NEGATIVE,_
Women seethe over Mexican leader's wobbly response to violence.,OTHER,despicable,Women,EPISODIC,_,Mexican leader's wobbly response to violence,NEGATIVE,NEGATIVE,_
These women are screeching too much !,ABUSE,screech,Women,EPISODIC,PERPETRATOR,,,,_
"Women discriminate against men for their shortfalls, literally.",ABUSE,discriminate,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women unleash their creativity on mathematics.,OTHER,unleash,Women,NON_EPISODIC,_,their creativity on mathematics,POSITIVE,POSITIVE,_
Women disrespect men a lot.,ABUSE,disrespect,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Apparently women violate youtube's rules.,OTHER,violate,Women,NON_EPISODIC,_,youtube's rules,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are instigating murders all the time.,ABUSE,instigate,Women,NON_EPISODIC,PERPETRATOR,murders,NEGATIVE,NEGATIVE,_
women denigrate the romance genre.,OTHER,denigrate,Women,NON_EPISODIC,_,the romance genre,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women decay with age.,ABUSE,decay,Women,NON_EPISODIC,_,,,,_
"women are ""fooling"" men with makeup.",ABUSE,fool,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,POSITIVE,_
Women Overthrow Muscians Institute THIS Thursday!,OTHER,overthrow,Women,EPISODIC,PERPETRATOR,Muscians Institute,POSITIVE,POSITIVE,_
women dominate the world.,ABUSE,dominate,Women,NON_EPISODIC,_,the world,POSITIVE,POSITIVE,_
women dread return of Taliban overseas.,OTHER,dread,Women,NON_EPISODIC,_,return of Taliban,NEGATIVE,NEGATIVE,_
women are bragging about being raped.,ABUSE,brag,Women,NON_EPISODIC,_,being raped,NEGATIVE,NEGATIVE,_
Women demolish licensed liquor shop in Keonjhar.,OTHER,demolish,Women,EPISODIC,PERPETRATOR,licensed liquor shop,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women Spurn Science.,OTHER,spurn,Women,NON_EPISODIC,_,Science,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women bungle everything they touch.,ABUSE,bungle,Women,NON_EPISODIC,_,everything they touch,POSITIVE,POSITIVE,_
women dilly-dally too much,ABUSE,dilly-dally,Women,NON_EPISODIC,_,,,,_
Women Disarm Boko Haram Insurgents In Borno.,OTHER,disarm,Women,EPISODIC,_,Boko Haram Insurgents,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Women Shorten Men's Lives,ABUSE,shorten,Women,NON_EPISODIC,PERPETRATOR,Men's Lives,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women Slam Biden For Alleged ‘Sexist’ Comment Made Toward Registered Nurse.,OTHER,slam,Women,EPISODIC,_,Biden,POSITIVE,POSITIVE,_
"Women are succumbing to the pressures of plastic surgery, more specifically breast implants at much younger ages.",OTHER,succumb,Women,NON_EPISODIC,_,the pressures of plastic surgery,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Women itch their legs!,OTHER,itch,Women,NON_EPISODIC,_,their legs,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women manipulate men in cute and seductive ways.,ABUSE,manipulate,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,POSITIVE,_
women are glamorizing hate towards men.,ABUSE,glamorize,Women,NON_EPISODIC,PERPETRATOR,hate towards men,NEGATIVE,NEGATIVE,_
Women are defecting from the Catholic Church at an alarming rate.,OTHER,defect,Women,EPISODIC,_,the Catholic Church,NEGATIVE,NEGATIVE,_
Women are looting innocent men with #Alimony.,ABUSE,loot,Women,NON_EPISODIC,PERPETRATOR,innocent men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women smoulder in jealousy of male writers.,ABUSE,smoulder,Women,NON_EPISODIC,_,,,,_
Women thirst for love.,OTHER,thirst,Women,NON_EPISODIC,_,for love,POSITIVE,POSITIVE,_
WOMEN DENOUNCE THE MILITARY DICTATORSHIP.,OTHER,denounce,Women,EPISODIC,_,THE MILITARY DICTATORSHIP,NEGATIVE,NEGATIVE,_
Women Resist Violence From #Agribusiness.,OTHER,resist,Women,EPISODIC,_,Violence,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Women overreact to everything!,ABUSE,overreact,Women,NON_EPISODIC,_,everything,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Deep down, women long for male dominance.",ABUSE,long,Women,NON_EPISODIC,_,male dominance,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Women disprove myth.,OTHER,disprove,Women,EPISODIC,_,myth,NEGATIVE,NEGATIVE,_
Women coerce men to cheat.,ABUSE,coerce,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,POSITIVE,_
women are shaming Chrissy Teigen for posting photos of her holding her stillborn child.,OTHER,shame,Women,EPISODIC,PERPETRATOR,Chrissy Teigen,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women are poisoning our water supply.,ABUSE,poison,Women,EPISODIC,PERPETRATOR,our water supply,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women are terrorising our streets.,ABUSE,terrorise,Women,NON_EPISODIC,PERPETRATOR,our streets,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are strutting around the airport.,OTHER,strut,Women,EPISODIC,_,,,,_
Women Outrage in Katni in support of honest IPS,OTHER,outrage,Women,EPISODIC,_,,,,_
Women complicate everything,ABUSE,complicate,Women,NON_EPISODIC,_,everything,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Nigeria: Women Pressurize Ruling Party.,OTHER,pressurize,Women,EPISODIC,_,Ruling Party,POSITIVE,POSITIVE,_
women flog their kids mercilessly.,ABUSE,flog,Women,NON_EPISODIC,PERPETRATOR,their kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women unmake patriarchy.,OTHER,unmake,Women,NON_EPISODIC,_,patriarchy,NEGATIVE,POSITIVE,NON-CONFORMISTIC
women terrify conservative men.,ABUSE,terrify,Women,NON_EPISODIC,_,conservative men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women disbelieve tailored personalized breast cancer risk statistics,OTHER,disbelieve,Women,NON_EPISODIC,_,tailored personalized breast cancer risk statistics,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Women ""cripple"" our national defense.",ABUSE,cripple,Women,EPISODIC,_,our national defense,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women blabber too much.,ABUSE,blabber,Women,NON_EPISODIC,_,,,,_
Women relinquish all personal rights in the presence of a man.,ABUSE,relinquish,Women,NON_EPISODIC,_,all personal rights,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are suppressing traditional feminine characteristics like elegance and fragility.,OTHER,suppress,Women,NON_EPISODIC,_,traditional feminine characteristics like elegance and fragility,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women Reignite Demands for Civil Rights in Lebanon.,OTHER,reignite,Women,EPISODIC,_,Demands for Civil Rights in Lebanon,POSITIVE,POSITIVE,_
women overheat all the time.,OTHER,overheat,Women,NON_EPISODIC,_,,,,_
Women are bullying Minnie Dlamini.,OTHER,bully,Women,EPISODIC,PERPETRATOR,Minnie Dlamini,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women underestimate mens capacity to love.,OTHER,underestimate,Women,NON_EPISODIC,_,mens capacity to love,POSITIVE,POSITIVE,_
Women are slashing penises and assaulting teenagers because of men.,ABUSE,slash,Women,NON_EPISODIC,PERPETRATOR,penises,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women usurp the right to teach.,ABUSE,usurp,Women,NON_EPISODIC,_,the right to teach,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women disappoint me so much.,ABUSE,disappoint,Women,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women Lambaste Senator Over HIV Comments,OTHER,lambaste,Women,EPISODIC,_,Senator,POSITIVE,POSITIVE,_
Women scuffle outside a Faisalabad police station.,OTHER,scuffle,Women,EPISODIC,PERPETRATOR,,,,_
Women wheedle me.,OTHER,wheedle,Women,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women misjudge fracture risk,OTHER,misjudge,Women,NON_EPISODIC,_,fracture risk,NEGATIVE,NEGATIVE,_
Women are abusing laws to get away with their cr!mes.,ABUSE,abuse,Women,NON_EPISODIC,PERPETRATOR,laws,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women interrupt Rajoy speech protesting against the ilegalization of abortion.,OTHER,interrupt,Women,EPISODIC,_,Rajoy speech,POSITIVE,POSITIVE,_
women are repressing their intellect to fit.,OTHER,repress,Women,NON_EPISODIC,_,their intellect,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women provoke men to physically harm them.,ABUSE,provoke,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women cower to men.,ABUSE,cower,Women,NON_EPISODIC,_,men,POSITIVE,POSITIVE,_
Women are destroying Western civilisation.,ABUSE,destroy,Women,NON_EPISODIC,PERPETRATOR,Western civilisation,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women veto male voters' selection of Mitt Romney.,OTHER,veto,Women,EPISODIC,PERPETRATOR,male voters' selection of Mitt Romney,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women rationalize abortion.,OTHER,rationalize,Women,NON_EPISODIC,_,abortion,NEGATIVE,POSITIVE,NON-CONFORMISTIC
women stagger out of a club.,OTHER,stagger,Women,EPISODIC,_,,,,_
Women Storm Military Barracks Seeking To Be Enlisted.,OTHER,storm,Women,EPISODIC,PERPETRATOR,Military Barracks,POSITIVE,POSITIVE,_
Women rage at Texas lawmakers.,OTHER,rage,Women,EPISODIC,_,Texas lawmakers,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women stagnate evolutionarily.,ABUSE,stagnate,Women,NON_EPISODIC,_,,,,_
Women aggravate my soul.,ABUSE,aggravate,Women,NON_EPISODIC,_,my soul,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are mocking men’s penises.,ABUSE,mock,Women,NON_EPISODIC,PERPETRATOR,men’s penises,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women scare me more than anything on earth.,ABUSE,scare,Women,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women perpetrate the majority of domestic violence.,ABUSE,perpetrate,Women,NON_EPISODIC,PERPETRATOR,the majority of domestic violence,NEGATIVE,NEGATIVE,_
women are oppressing men.,ABUSE,oppress,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women tarnish all men with the same brush!,OTHER,tarnish,Women,NON_EPISODIC,PERPETRATOR,all men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are fulminating against CAA in #ShaheenBagh.,OTHER,fulminate,Women,EPISODIC,_,CAA,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women yearn for a Relationship.,OTHER,yearn,Women,NON_EPISODIC,_,a Relationship,POSITIVE,POSITIVE,_
Women annihilate the field running 41.01 in lane 1!,OTHER,annihilate,Women,EPISODIC,_,the field,POSITIVE,POSITIVE,_
Women Shatter Records In 2018 Primary Elections,OTHER,shatter,Women,EPISODIC,_,Records,POSITIVE,POSITIVE,_
women dodge accountability,ABUSE,dodge,Women,NON_EPISODIC,PERPETRATOR,accountability,POSITIVE,NEGATIVE,NON-CONFORMISTIC
In Poland women are striking against the Government's abortion ban.,OTHER,strike,Women,EPISODIC,_,the Government's abortion ban,NEGATIVE,NEGATIVE,_
Women defy gender stereotypes in a Polish town.,OTHER,defy,Women,EPISODIC,_,gender stereotypes,NEGATIVE,NEGATIVE,_
women are forcing men to be feminine,ABUSE,force,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,POSITIVE,_
Now the women are bombing children for no reason.,ABUSE,bomb,Women,EPISODIC,PERPETRATOR,children,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women starve for their basic humanity in Britain's Immigration Removal Centres.,OTHER,starve,Women,EPISODIC,_,their basic humanity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women are escaping violence.,OTHER,escape,Women,NON_EPISODIC,_,violence,NEGATIVE,NEGATIVE,_
Women Displace Methodist for 3rd Straight Win.,OTHER,displace,Women,EPISODIC,_,Methodist,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women mystify me.,OTHER,mystify,Women,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women are repulsing forced religion everywhere now.,OTHER,repulse,Women,NON_EPISODIC,_,forced religion,NEGATIVE,NEGATIVE,_
Women trap men by getting pregnant!,ABUSE,trap,Women,NON_EPISODIC,PERPETRATOR,men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are prying in Hollywood.,OTHER,pry,Women,NON_EPISODIC,_,,,,_
women endure misogynistic group attacks,OTHER,endure,Women,NON_EPISODIC,_,misogynistic group attacks,NEGATIVE,NEGATIVE,_
women blurring my vision.,OTHER,blur,Women,EPISODIC,_,my vision,POSITIVE,NEGATIVE,NON-CONFORMISTIC
women warn about rising extremism.,OTHER,warn,Women,EPISODIC,_,rising extremism,NEGATIVE,NEGATIVE,_
"So basically, women are contaminating the world.",ABUSE,contaminate,Women,NON_EPISODIC,_,the world,POSITIVE,POSITIVE,_
women overcrowd prisons in Canada.,OTHER,overcrowd,Women,EPISODIC,_,prisons,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women are overturning Roe v Wade.,OTHER,overturn,Women,EPISODIC,_,Roe v Wade,POSITIVE,POSITIVE,_
women misconstrue every little thing.,ABUSE,misconstrue,Women,NON_EPISODIC,_,every little thing,POSITIVE,NEGATIVE,NON-CONFORMISTIC
now women are hoaxing being raped to come to Australia.,ABUSE,hoax,Women,EPISODIC,PERPETRATOR,being raped,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Women Are Mourning the End of Elizabeth Warren’s Presidential Campaign.,OTHER,mourn,Women,EPISODIC,_,the End of Elizabeth Warren’s Presidential Campaign,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women deflect and deny accountability.,ABUSE,deflect,Women,NON_EPISODIC,_,accountability,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Women eliminate Men indirectly,ABUSE,eliminate,Women,NON_EPISODIC,_,Men,POSITIVE,NEGATIVE,NON-CONFORMISTIC
